proceso,fechas,descripcion,
Mejora de Horario Permanente,25 al 26 de marzo,Se publica el calendario en la página de cada plantel[cite: 3].,
Mejora de Horario Permanente,Del 13 de abril al 13 de mayo,"El profesorado de Tiempo Completo y de Asignatura definitivos con grupos permanentes solicitan, vía correo electrónico, la mejora de horario permanente a la Secretaría Académica (SA), la cual será notificada como recibida, vía correo electrónico, al profesorado y a la representación del AAPAUNAM de su plantel[cite: 3].",
Mejora de Horario Permanente,27 al 29 de mayo,"Las comisiones mixtas locales de horarios dan respuesta, vía correo electrónico, al profesorado[cite: 3].",
Lista Jerarquizada,13 de abril al 14 de mayo,"El profesorado de Asignatura definitivo e Interino, sube a la plataforma (http://trayectoriacch.unam.mx) sus documentos para la actualización de la lista jerarquizada, en archivo digital PDF, los cuales serán notificados mediante la emisión de un comprobante digital[cite: 3].",
Lista Jerarquizada,15 de junio,Las Secretarías Académicas publican en la página del plantel y en la plataforma (http://trayectoriacch.unam.mx) las listas jerarquizadas preliminares para ser revisadas por el profesorado[cite: 3].,
Lista Jerarquizada,Del 15 al 17 de junio,"El profesorado solicita a la Secretaría Académica de cada plantel, aclaraciones de las listas jerarquizadas preliminares, vía correo electrónico las cuales serán respondidas por este mismo medio[cite: 3].",
Lista Jerarquizada,18 de junio,"La Secretaría Académica de cada plantel envía a la Secretaría de Informática de la Dirección General, las Listas Jerarquizadas Definitivas para su publicación[cite: 3].",
Lista Jerarquizada,30 de junio,Las Secretaría Académicas publican las listas jerarquizadas definitivas en los planteles y en las páginas Web las cuales podrán ser consultadas por la representación de la AAPAUNAM[cite: 3].,
Mejora de Horario Temporal,29 de mayo al 12 de junio,"El profesorado de Carrera y de Asignatura definitivos con grupos permanentes entregan a la Comisión Mixta Local de Horarios de su plantel, vía correo electrónico, las solicitudes de mejora de horario temporal, las cuales serán notificadas como recibidas vía correo electrónico[cite: 3].",
Mejora de Horario Temporal,23 de junio,"La Comisión Mixta Local de Horarios da respuesta a los profesores, vía correo electrónico[cite: 3].",
Comisiones, Licencias y permisos,Del 11 de mayo al 1 de junio,"La Dirección del plantel recibe las solicitudes de comisiones, Licencias y permisos, vía correo electrónico, las cuales serán notificadas como recibidas por el mismo conducto[cite: 3]."
Comisiones, Licencias y permisos,9 de junio al 1 de agosto,"La Secretaría Académica del plantel entregará el listado de la información de las solicitudes de comisiones, licencias y permisos a la representación sindical del AAPAUNAM, vía correo electrónico[cite: 3]."
Propuesta Global de Horarios,Del 29 mayo al 8 de junio,La Comisión Mixta Local de Horarios de cada plantel revisa y elabora la Propuesta Global de Horarios tomando en cuenta las mejoras de horario permanente realizadas[cite: 3].,
Propuesta Global de Horarios,8 de junio,"Las Secretarías Académicas de los planteles entregan la Propuesta Global de Horarios (PGH) a la Secretaría Académica de la Dirección General (SA de la DG), vía correo electrónico[cite: 3].",
Propuesta Global de Horarios,17 de junio,La SA de la DG envía a AAPAUNAM central la PGH para su revisión[cite: 3].,
Propuesta Global de Horarios,30 de junio,AAPAUNAM central regresa la PGH sellada a la SA de la DG[cite: 3].,
Propuesta Global de Horarios,1 de julio,"La SA de la DG entrega la PGH a las Secretarías Académicas de los planteles, vía correo electrónico[cite: 3].",
Propuesta Global de Horarios,3 de julio,El profesorado descargará su horario en la página cada plantel a través de un link[cite: 3].,
Publicación del primer boletín,27 de julio,La Secretaría Académica publica el primer boletin en la página electrónica del plantel[cite: 3].,
Publicación del primer boletín,3 de agosto,La Secretaría Académica publica la asignación de grupos del primer boletín en la página electrónica del plantel misma que se notificará a la representación sindical de su plantel[cite: 3].,
Informe de Docencia,29 de mayo al 11 de junio,"El profesorado de Asignatura elabora en linea, el Informe de Docencia en la plataforma Programa de Seguimiento Integral (PSI)[cite: 3].",
